Designator,Mid X,Mid Y,Layer,Rotation
C2,-44.399999,28.600000,top,90.000000
C4,-55.799999,12.850000,top,-90.000000
C5,-55.799999,17.150000,top,90.000000
C7,-52.499999,5.000000,top,-90.000000
C8,-48.399999,-3.400000,top,90.000000
C9,-55.799999,21.350000,top,-90.000000
D1,-44.249999,19.700000,top,90.000000
D2,-44.249999,23.200000,top,90.000000
D4,-44.199999,16.500000,top,90.000000
D8,-55.799999,28.500000,top,-90.000000
D9,-55.809999,25.100000,top,90.000000
J3,-44.399999,11.375000,top,0.000000
J4,-51.199999,-5.400000,top,90.000000
L1,-55.289999,-2.330000,top,180.000000
Q1,-53.949999,-4.762500,top,180.000000
Q2,-45.417499,6.060000,top,180.000000
Q3,-47.079999,2.997500,top,180.000000
Q4,-55.349999,6.750000,top,90.000000
R1,-55.599999,9.400000,top,0.000000
R2,-43.699999,3.430000,top,90.000000
R3,-51.799999,-0.275000,top,-90.000000
R4,-52.819999,-2.580000,top,0.000000
R5,-48.189999,-0.200000,top,-90.000000
R6,-43.949999,-0.525000,top,90.000000
R7,-55.599999,10.600000,top,0.000000
SC1,-49.999999,29.562500,top,0.000000
U1,-55.424999,1.612500,top,-90.000000
U2,-45.799999,-4.150000,top,0.000000